"","capital","capitalLabel","coordinate_location","capital_of","capital_ofLabel","country","countryLabel"
"1","http://www.wikidata.org/entity/Q61","Washington, D.C.","Point(-77.036666666 38.895)","http://www.wikidata.org/entity/Q30","United States of America","http://www.wikidata.org/entity/Q30","United States of America"
"2","http://www.wikidata.org/entity/Q64","Berlin","Point(13.383333333 52.516666666)","http://www.wikidata.org/entity/Q183","Germany","http://www.wikidata.org/entity/Q183","Germany"
"3","http://www.wikidata.org/entity/Q70","Bern","Point(7.44743 46.94798)","http://www.wikidata.org/entity/Q39","Switzerland","http://www.wikidata.org/entity/Q39","Switzerland"
"4","http://www.wikidata.org/entity/Q70","Bern","Point(7.44743 46.94798)","http://www.wikidata.org/entity/Q11911","Canton of Bern","http://www.wikidata.org/entity/Q39","Switzerland"
"5","http://www.wikidata.org/entity/Q84","London","Point(-0.1275 51.507222222)","http://www.wikidata.org/entity/Q21","England","http://www.wikidata.org/entity/Q145","United Kingdom"
"6","http://www.wikidata.org/entity/Q84","London","Point(-0.1275 51.507222222)","http://www.wikidata.org/entity/Q145","United Kingdom","http://www.wikidata.org/entity/Q145","United Kingdom"
"7","http://www.wikidata.org/entity/Q85","Cairo","Point(31.239444444 30.056111111)","http://www.wikidata.org/entity/Q79","Egypt","http://www.wikidata.org/entity/Q79","Egypt"
"8","http://www.wikidata.org/entity/Q90","Paris","Point(2.351388888 48.856944444)","http://www.wikidata.org/entity/Q142","France","http://www.wikidata.org/entity/Q142","France"
"9","http://www.wikidata.org/entity/Q90","Paris","Point(2.351388888 48.856944444)","http://www.wikidata.org/entity/Q16665915","Metropolis of Greater Paris","http://www.wikidata.org/entity/Q142","France"
"10","http://www.wikidata.org/entity/Q174","São Paulo","Point(-46.633947222 -23.550394444)","http://www.wikidata.org/entity/Q175","São Paulo","http://www.wikidata.org/entity/Q155","Brazil"
"11","http://www.wikidata.org/entity/Q174","São Paulo","Point(-46.633947222 -23.550394444)","http://www.wikidata.org/entity/Q744763","São Paulo metropolitan area","http://www.wikidata.org/entity/Q155","Brazil"
"12","http://www.wikidata.org/entity/Q174","São Paulo","Point(-46.633947222 -23.550394444)","http://www.wikidata.org/entity/Q2331485","São Paulo","http://www.wikidata.org/entity/Q155","Brazil"
"13","http://www.wikidata.org/entity/Q216","Vilnius","Point(25.283333333 54.683333333)","http://www.wikidata.org/entity/Q37","Lithuania","http://www.wikidata.org/entity/Q37","Lithuania"
"14","http://www.wikidata.org/entity/Q216","Vilnius","Point(25.283333333 54.683333333)","http://www.wikidata.org/entity/Q49683","Grand Duchy of Lithuania","http://www.wikidata.org/entity/Q37","Lithuania"
"15","http://www.wikidata.org/entity/Q216","Vilnius","Point(25.283333333 54.683333333)","http://www.wikidata.org/entity/Q76236","Lithuanian–Belorussian Soviet Socialist Republic","http://www.wikidata.org/entity/Q37","Lithuania"
